paragraphId,chapterTitle,subChapterTitle,content,dataType
67,Value chain,5.1 Reporting undertaking and value chain,When associates or joint ventures accounted for under the equity method or proportionally consolidated in the financial statements are part of the undertaking's value chain for example as suppliers the undertaking shall include information related to those associates or joint ventures in accordance with paragraph 63 consistent with the approach adopted for the other business relationships in the value chain. In this case when determining impact metrics the data of the associate or joint venture are not limited to the share of equity held but shall be taken into account on the basis of the impacts that are connected with the undertaking's products and services through its business relationships.,
68,Value chain,5.2 Estimation using sector averages and proxies,The undertaking's ability to obtain the necessary upstream and downstream value chain information may vary depending on various factors such as the undertaking's contractual arrangements the level of control that it exercises on the operations outside the consolidation scope and its buying power. When the undertaking does not have the ability to control the activities of its upstream and/or downstream value chain and its business relationships obtaining value chain information may be more challenging.,
69,Value chain,5.2 Estimation using sector averages and proxies,There are circumstances where the undertaking cannot collect the information about its upstream and downstream value chain as required by paragraph 63 after making reasonable efforts to do so. In these circumstances the undertaking shall estimate the information to be reported about its upstream and downstream value chain by using all reasonable and supportable information such as sector-average data and other proxies.,
70,Value chain,5.2 Estimation using sector averages and proxies,Obtaining value chain information could also be challenging in the case of SMEs and other upstream and/or downstream value chain entities that are not in the scope of the sustainability reporting required by Articles 19a and 29a of Directive 2013/34/EU (see ESRS 2 BP-2 Disclosures in relation to specific circumstances).,
71,Value chain,5.2 Estimation using sector averages and proxies,"With reference to policies, actions and targets, the undertaking's reporting shall include upstream and/or downstream value chain information to the extent that those policies actions and targets involve actors in the value chain. With reference to metrics in many cases in particular for environmental matters for which proxies are available the undertaking may be able to comply with the reporting requirements without collecting data from the actors in its upstream and downstream value chain especially from SMEs for example when calculating the undertaking's GHG Scope 3 emissions.",
72,Value chain,5.2 Estimation using sector averages and proxies,The incorporation of estimates made using sector-average data or other proxies shall not result in information that does not meet the qualitative characteristics of information (see chapter 2 and section 7.2 Sources of estimation and outcome uncertainty of this Standard).,
AR17,Value chain,Estimation using sector averages and proxies,When the undertaking cannot collect upstream and downstream value chain information as required by paragraph 63 after making reasonable efforts to do so it shall estimate the information to be reported using all reasonable and supportable information that is available to the undertaking at the reporting date without undue cost or effort. This includes but is not limited to internal and external information such as data from indirect sources sectoraverage data sample analyses market and peer groups data other proxies or spend-based data.,
73,Time horizons,6.1 Reporting period,The reporting period for the undertaking's sustainability statement shall be consistent with that of its financial statements.,
74,Time horizons,"6.2 Linking past, present and future",The undertaking shall establish appropriate linkages in its sustainability statement between retrospective and forward-looking information when relevant to foster a clear understanding of how historical information relates to future-oriented information.,
75,Time horizons,6.3 Reporting progress against the base year,A base year is the historical reference date or period for which information is available and against which subsequent information can be compared over time.,
76,Time horizons,6.3 Reporting progress against the base year,The undertaking shall present comparative information in respect of the base year for amounts reported in the current period when reporting the developments and progress towards a target unless the relevant Disclosure Requirement already defines how to report progress. The undertaking may also include historical information about achieved milestones between the base year and the reporting period when this is relevant information.,
77,Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",When preparing its sustainability statement the undertaking shall adopt the following time intervals as of the end of the reporting period:\n (a) for the short-term time horizon: the period adopted by the undertaking as the reporting period in its financial statements;\n (b) for the medium-term time horizon: from the end of the short-term reporting period defined in (a) up to 5 years; and\n (c) for the long-term time horizon: more than 5 years.,
78,Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",The undertaking shall use an additional breakdown for the long-term time horizon when impacts or actions are expected in a period longer than 5 years if necessary to provide relevant information to users of sustainability statements.,
79,Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",If different definitions of medium- or long-term time horizons are required for specific items of disclosure in other ESRS the definitions in those ESRS shall prevail.,
80,Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes","There may be circumstances where the use of the medium- or long-term time horizons defined in paragraph 77 results in non-relevant information as the undertaking uses a different definition for 13 (i) its processes of identification and management of material impacts, risks and opportunities or (ii) the definition of its actions and setting targets. These circumstances may be due to industryspecific characteristics such as cash flow and business cycles the expected duration of capital investments the time horizons over which the users of sustainability statements conduct their assessments or the planning horizons typically used in the undertaking's industry for decisionmaking. In these circumstances the undertaking may adopt a different definition of medium- and/or long- term time horizons (see ESRS 2 BP-2 paragraph 9).",
81,Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",References to “short-term” “medium-term” and “long-term” in ESRS refer to the time horizon as determined by the undertaking according to the provisions in paragraphs 77 to 80,
82,Preparation and presentation of sustainability information,7. Preparation and presentation of sustainability information,This chapter provides general requirements to be applied when preparing and presenting sustainability information.,
83,Preparation and presentation of sustainability information,7.1 Presenting comparative information,The undertaking shall disclose comparative information in respect of the previous period for all quantitative metrics and monetary amounts disclosed in the current period. When relevant to an understanding of the current period's sustainability statement the undertaking shall also disclose comparative information for narrative disclosures.,
84,Preparation and presentation of sustainability information,7.1 Presenting comparative information,When the undertaking reports comparative information that differs from the information reported in the previous period it shall disclose:\n (a) the difference between the figure reported in the previous period and the revised comparative figure; and\n (b) the reasons for the revision of the figure.,
85,Preparation and presentation of sustainability information,7.1 Presenting comparative information,Sometimes it is impracticable to adjust comparative information for one or more prior periods to achieve comparability with the current period. For example data might not have been collected in the prior period(s) in a way that allows either retrospective application of a new definition of a metric or target or retrospective restatement to correct a prior period error and it may be impracticable to recreate the information (see ESRS 2 BP-2). When it is impracticable to adjust comparative information for one or more prior periods the undertaking shall disclose this fact.,
86,Preparation and presentation of sustainability information,7.1 Presenting comparative information,When an ESRS requires the undertaking to present more than one comparative period for a metric or datapoint the requirements of that ESRS shall prevail.,
87,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,When quantitative metrics and monetary amounts including upstream and downstream value chain information (see chapter 5 of this Standard) cannot be measured directly and can only be estimated measurement uncertainty may arise.,
88,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,An undertaking shall disclose information to enable users to understand the most significant uncertainties affecting the quantitative metrics and monetary amounts reported in its sustainability statement.,
89,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,The use of reasonable assumptions and estimates including scenario or sensitivity analysis is an essential part of preparing sustainability-related information and does not undermine the usefulness of that information provided that the assumptions and estimates are accurately described and explained. Even a high level of measurement uncertainty would not necessarily prevent such an assumption or estimate from providing useful information or meeting the qualitative characteristics of information (see Appendix B of this Standard).,
90,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,Data and assumptions used in preparing the sustainability statement shall be consistent to the extent possible with the corresponding financial data and assumptions used in the undertaking's financial statements.,
91,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,Some ESRS require the disclosure of information such as explanations about possible future events that have uncertain outcomes. In judging whether information about such possible future events is material the undertaking shall refer to the criteria in Chapter 3 of this Standard and consider:\n (a) the potential financial effects of the events (the possible outcome);\n (b) the severity and likelihood of the impacts on people or the environment resulting from the possible events taking account of the factors of severity specified in paragraph 45; and\n (c) the full range of possible outcomes and the likelihood of the possible outcomes within that range.,
92,Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,When assessing the possible outcomes the undertaking shall consider all relevant facts and circumstances including information about low-probability and high-impact outcomes which when aggregated could become material. For example the undertaking might be exposed to several impacts or risks each of which could cause the same type of disruption such as disruptions to the undertaking's supply chain. Information about an individual source of risk might not be material if disruption from that source is highly unlikely to occur. However information about the aggregate risk of supply chain disruption from all sources might be material (see ESRS 2 BP-2).,
93,Preparation and presentation of sustainability information,7.3 Updating disclosures about events after the end of the reporting period,In some cases the undertaking may receive information after the reporting period but before the management report is approved for issuance. If such information provides evidence or insights about conditions existing at period end the undertaking shall where appropriate update estimates and sustainability disclosures in the light of the new information.,
94,Preparation and presentation of sustainability information,7.3 Updating disclosures about events after the end of the reporting period,When such information provides evidence or insights about material transactions other events and conditions that arise after the end of the reporting period the undertaking shall where appropriate provide narrative information indicating the existence nature and potential consequences of these post-year end events.,
95,Preparation and presentation of sustainability information,7.4 Changes in preparation or presentation of sustainability information,The definition and calculation of metrics including metrics used to set targets and monitor progress towards them shall be consistent over time. The undertaking shall provide restated comparative figures unless it is impracticable to do so (see ESRS 2 BP-2) when it has:\n (a) redefined or replaced a metric or target;\n (b) identified new information in relation to the estimated figures disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period.,
96,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,The undertaking shall correct material prior period errors by restating the comparative amounts for the prior period(s) disclosed unless it is impracticable to do so. This requirement does not extend to reporting periods before the first year of application of ESRS by the undertaking.,
97,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Prior period errors are omissions from and misstatements in the undertaking's sustainability statement for one or more prior periods. Such errors arise from a failure to use or misuse of reliable information that:\n (a) was available when the management report that includes the sustainability statement for those periods was authorised for issuance; and\n (b) could reasonably be expected to have been obtained and considered in the preparation of sustainability disclosures included in these reports.,
98,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Such errors include: the effects of mathematical mistakes mistakes in applying the definitions for metrics or targets oversights or misinterpretations of facts and fraud.,
99,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Potential errors in the current period discovered in that period are corrected before the management report is authorised for issuance. However material errors are sometimes only discovered in a subsequent period.,
100,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,When it is impracticable to determine the effect of an error on all prior periods presented the undertaking shall restate the comparative information to correct the error from the earliest date practicable. When correcting disclosures for a prior period the undertaking shall not use hindsight either in making assumptions about what the management's intentions would have been in a prior period or in estimating the amounts disclosed in a prior period. This requirement applies to correction of both backward-looking and forward- looking disclosures.,
101,Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Corrections of errors are distinguished from changes in estimates. Estimates may need to be revised as additional information becomes known (see ESRS 2 BP-2).,
102,Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"When the undertaking is reporting at a consolidated level it shall perform its assessment of material impacts, risks and opportunities for the entire consolidated group regardless of its group legal structure. It shall ensure that all subsidiaries are covered in a way that allows for the unbiased identification of material impacts risks and opportunities. Criteria and thresholds for assessing an impact risk or opportunity as material shall be determined based on chapter 3 of this Standard.",
103,Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"Where the undertaking identifies significant differences between material impacts, risks or opportunities at group level and material impacts risks or opportunities of one or more of its subsidiaries the undertaking shall provide an adequate description of the impacts risks and opportunities as appropriate of the subsidiary or subsidiaries concerned.",
104,Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"When assessing whether the differences between material impacts, risks or opportunities at group level and material impacts risks or opportunities of one or more of its subsidiaries are significant the undertaking may consider different circumstances such as whether the subsidiary or subsidiaries operate in a different sector than the rest of the group or the circumstances reflected in section 3.7 Level of disaggregation.",
105,Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",The undertaking is not required to disclose classified information or sensitive information even if such information is considered material.,
106,Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation","When disclosing information about its strategy, plans and actions where a specific piece of information corresponding to intellectual property know-how or the results of innovation is relevant to meet the objective of a Disclosure Requirement the undertaking may nevertheless omit that specific piece of information if it:\n (a) is secret in the sense that it is not as a body or in the precise configuration and assembly of its components generally known among or readily accessible to persons within the circles that normally deal with the kind of information in question;\n (b) has commercial value because it is secret; and\n (c) has been subject to reasonable steps by the undertaking to keep it secret.",
107,Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",If the undertaking omits classified information or sensitive information or a specific piece of information corresponding to intellectual property know-how or the results of innovation because it meets the criteria established in the previous paragraph it shall comply with the disclosure requirement in question by disclosing all other required information.,
108,Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",The undertaking shall make every reasonable effort to ensure that beyond the omission of the classified information or sensitive information or of the specific piece of information corresponding to intellectual property know-how or the results of innovation the overall relevance of the disclosure in question is not impaired.,
109,Preparation and presentation of sustainability information,7.8 Reporting on opportunities,When reporting on opportunities the disclosure should consist of descriptive information allowing the reader to understand the opportunity for the undertaking or the entire sector. When reporting on opportunities the undertaking shall consider the materiality of the information to be disclosed. In this context it shall consider among other factors:\n (a) whether the opportunity is currently being pursued and is incorporated in its general strategy as opposed to a general opportunity for the undertaking or the sector; and\n (b) whether the inclusion of quantitative measures of anticipated financial effects is appropriate taking into account the number of assumptions that it could require and consequential uncertainty.,
110,Structure of the sustainability statement,8. Structure of the sustainability statement,This chapter provides the basis for the presentation of the information about sustainability matters prepared in compliance with Articles 19a and 29a of Directive 2013/34/EU (i.e. the sustainability statement) within the undertaking's management report. Such information is presented in a dedicated section of the management report identified as the sustainability statement. Appendix F Example of structure of ESRS sustainability statement of this Standard provides an illustrative example of a sustainability statement structured according to the requirements of this chapter.,
111,Structure of the sustainability statement,8.1 General presentation requirement,Sustainability information shall be presented:\n (a) in a way that allows a distinction between information required by disclosures in ESRS and other information included in the management report; and\n (b) under a structure that facilitates access to and understanding of the sustainability statement in a format that is both human-readable and machine-readable.,
112,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,Except for the possibility to incorporate information by reference in accordance with section 9.1 Incorporation by reference of this Standard the undertaking shall report all the applicable disclosures required by ESRS in accordance with chapter 1 of this Standard within a dedicated section of the management report.,
113,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The undertaking shall include in its sustainability statement the disclosures pursuant to Article 8 of Regulation (EU) 2020/852 of the European Parliament and the Council 8 and to the Commission Delegated Regulations that specify the content and other modalities of those disclosures. The undertaking shall ensure that these disclosures are separately identifiable within the sustainability statement. The disclosures relating to each of the environmental objectives defined in the Taxonomy Regulation shall be presented together in a clearly identifiable part of the environmental section of the sustainability statement. These disclosures are not subject to the provisions of ESRS with the exception of this paragraph and the first sentence of paragraph 115 of this standard.,
114,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,When the undertaking includes in its sustainability statement additional disclosures stemming from (i) other legislation which requires the undertaking to disclose sustainability information or (ii) generally accepted sustainability reporting standards and frameworks including non mandatory guidance and sector-specific guidance published by other standardsetting bodies (such as technical material issued by the International Sustainability Standards Board or the Global Reporting Initiative) such disclosures shall:\n (a) be clearly identified with an appropriate reference to the related legislation standard or framework (see ESRS 2 BP-2 paragraph 15);\n (b) meet the requirements for qualitative characteristics of information specified in chapter 2 and Appendix B of this standard.,
115,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The undertaking shall structure its sustainability statement in four parts in the following order: general information environmental information (including disclosures pursuant to Article 8 of Regulation (EU) 2020/852) social information and governance information. Respecting the provision in section 3.6 Material impacts or risks arising from actions to address sustainability matters of this Standard when information provided in one part contains information to be reported in another part the undertaking may refer in one part to information presented in another part avoiding duplications. The undertaking may apply the detailed structure illustrated in Appendix F of this Standard.,
116,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The disclosures required by sector-specific ESRS shall be grouped by reporting area and where applicable by sustainability topic. They shall be presented alongside the disclosures required by ESRS 2 and the corresponding topical ESRS.,
117,Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,Where the undertaking develops material entity-specific disclosures in accordance with paragraph 11 it shall report those disclosures alongside the most relevant sector-agnostic and sector-specific disclosures.,
AR1,Structure of the sustainability statement,Entity specific disclosures,"The entity-specific disclosures shall enable users to understand the undertaking's impacts, risks and opportunities in relation to environmental social or governance matters.",
AR2,Structure of the sustainability statement,Entity specific disclosures,"When developing entity-specific disclosures the undertaking shall ensure that:\n (a) the disclosures meet the qualitative characteristics of information as set out in chapter 2 Qualitative characteristics of information; and\n (b) its disclosures include where applicable all material information related to the reporting areas of governance; strategy; impact, risk and opportunity management; and metrics and targets (see ESRS 2 chapters 2 to 5).",
AR3,Structure of the sustainability statement,Entity specific disclosures,When determining the usefulness of metrics for inclusion in its entity-specific disclosures the undertaking shall consider whether:\n (a) its chosen performance metrics provide insight into:\n (ai) how effective its practices are in reducing negative outcomes and/or increasing positive outcomes for people and the environment (for impacts); and/or\n (aii) the likelihood that its practices result in financial effects on the undertaking (for risks and opportunities);\n (b) the measured outcomes are sufficiently reliable meaning that they do not involve an excessive number of assumptions and unknowns that would render the metrics too arbitrary to provide a faithful representation; and\n (c) it has provided sufficient contextual information to interpret performance metrics appropriately and whether variations in such contextual information may impact the comparability of the metrics over time.,
AR4,Structure of the sustainability statement,Entity specific disclosures,When developing its entity-specific disclosures the undertaking shall carefully consider:\n (a) comparability between undertakings while still ensuring relevance of the information provided recognising that comparability may be limited for entity- specific disclosures. The undertaking shall consider whether the available and relevant frameworks initiatives reporting standards and benchmarks (such as technical material issued by the International Sustainability Standards Board or the Global Reporting Initiative) provide elements that can support comparability to the maximum extent possible; and\n (b) comparability over time: consistency of methodologies and disclosures is a key factor for achieving comparability over time.,
AR5,Structure of the sustainability statement,Entity specific disclosures,Further guidance for developing entity-specific disclosures can be found by considering the information required under topical ESRS that addresses similar sustainability matters.,
AR18,Structure of the sustainability statement,Content and structure of the sustainability statement,As an illustration for paragraph 115 in section 8.2 Content and structure of the sustainability statement of this Standard the undertaking that covers environmental and social matters in the same policy may cross-refer. That means that the undertaking may report on the policy in its environmental disclosures and cross-refer to it from the relevant social disclosures or vice versa. Consolidated presentation of policies across topics is allowed.,
QC1,Structure of the sustainability statement,Relevance,Relevance,
QC2,Structure of the sustainability statement,Relevance,Information may make a difference in a decision even if some users choose not to take advantage of it or are already aware of it from other sources. Sustainability information may impact decisions of users if it has predictive value confirmatory value or both. Information has predictive value if it can be used as an input to processes employed by users to predict future outcomes. Sustainability information does not need to be a prediction or forecast to have predictive value but rather has predictive value if employed by users in making their own predictions.,
QC3,Structure of the sustainability statement,Relevance,Information has confirmatory value if it provides feedback about (confirms or changes) previous evaluations.,
QC4,Structure of the sustainability statement,Relevance,Materiality is an entity-specific aspect of relevance based on the nature or magnitude or both of the items to which the information relates as assessed in the context of the undertaking's sustainability reporting (see chapter 3 of this Standard).,
QC5,Structure of the sustainability statement,Faithful representation,To be useful the information must not only represent relevant phenomena it must also faithfully represent the substance of the phenomena that it purports to represent. Faithful representation requires information to be (i) complete (ii) neutral and (iii) accurate,
QC6,Structure of the sustainability statement,Faithful representation,A complete depiction of an impact a risk or an opportunity includes all material information necessary for the users to understand that impact risk or opportunity. This includes how the undertaking has adapted its strategy risk management and governance in response to that impact risk or opportunity as well as the metrics identified to set targets and measure performance.,
QC7,Structure of the sustainability statement,Faithful representation,A neutral depiction is without bias in its selection or disclosure of information. Information is neutral if it is not slanted weighted emphasised de-emphasised or otherwise manipulated to make it more likely that the users will receive that information favourably or unfavourably. It shall be balanced so as to cover favourable/positive and unfavourable/negative aspects. Both negative and positive material impacts from an impact materiality perspective as well as material risks and opportunities from a financial materiality perspective shall receive equal attention. Any aspirational sustainability information for example targets or plans shall cover both aspirations and factors that could prevent the undertaking from achieving these aspirations in order to have a neutral depiction.,
QC8,Structure of the sustainability statement,Faithful representation,Neutrality is supported by the exercise of prudence which is the exercise of caution when making judgements under conditions of uncertainty. Information shall not be netted or compensated to be neutral. The exercise of prudence means that opportunities are not overstated and risks are not understated. Equally the exercise of prudence does not allow for the understatement of opportunities or the overstatement of risks. The undertaking may present net information in addition to gross values if such presentation does not obscure relevant information and includes a clear explanation about the effects of the netting and the reasons for the netting.,
QC9,Structure of the sustainability statement,Faithful representation,Information can be accurate without being perfectly precise in all respects. Accurate information implies that the undertaking has implemented adequate processes and internal controls to avoid material errors or material misstatements. As such estimates shall be presented with a clear emphasis on their possible limitations and associated uncertainty (see section 7.2 of this Standard). The amount of precision needed and attainable and the factors that make information accurate depend on the nature of the information and the nature of the matters it addresses. For example accuracy requires that:\n (a) factual information is free from material error;\n (b) descriptions are precise;\n (c) estimates approximations and forecasts are clearly identified as such;\n (d) no material errors have been made in selecting and applying an appropriate process for developing an estimate approximation or forecast and the inputs to that process are reasonable and supportable;\n (e) assertions are reasonable and based on information of sufficient quality and quantity; and\n (f) information about judgements about the future faithfully reflects both those judgements and the information on which they are based.,
QC10,Structure of the sustainability statement,Comparability,Sustainability information is comparable when it can be compared with information provided by the undertaking in previous periods and can be compared with information provided by other undertakings in particular those with similar activities or operating within the same industry. A point of reference for comparison can be a target a baseline an industry benchmark comparable information from either other undertakings or from an internationally recognised organisation etc.,
QC11,Structure of the sustainability statement,Comparability,Consistency is related to but is not the same as comparability. Consistency refers to the use of the same approaches or methods for the same sustainability matter from period to period by the undertaking and other undertakings. Consistency helps to achieve the goal of comparability.,
QC12,Structure of the sustainability statement,Comparability,Comparability is not uniformity. For information to be comparable like components shall look alike and different components shall look different. Comparability of sustainability information is not enhanced by making unlike things look alike any more than it is enhanced by making like things look different.,
QC13,Structure of the sustainability statement,Verifiability,Verifiability helps to give users confidence that information is complete neutral and accurate. Sustainability information is verifiable if it is possible to corroborate the information itself or the inputs used to derive it.,
QC14,Structure of the sustainability statement,Verifiability,"Verifiability means that various knowledgeable and independent observers could reach consensus although not necessarily complete agreement that a particular depiction is a faithful representation. Sustainability information shall be provided in a way that enhances its verifiability for example:\n (a) including information that can be corroborated by comparing it with other information available to users about the undertaking's business about other businesses or about the external environment;\n (b) providing information about inputs and methods of calculation used to produce estimates or approximations; and\n (c) providing information reviewed and agreed by the administrative, management and supervisory bodies or their committees.",
QC15,Structure of the sustainability statement,Verifiability,Some sustainability information will be in the form of explanations or forward-looking information. Those disclosures can be supportable by faithfully representing on a factual basis for example the strategies plans and risk analyses of the undertaking. To help users decide whether to use such information the undertaking shall describe the underlying assumptions and methods of producing the information as well as other factors that provide evidence that it reflects the actual plans or decisions made by the undertaking.,
QC16,Structure of the sustainability statement,Understandability,Sustainability information is understandable when it is clear and concise. Understandable information enables any reasonably knowledgeable user to readily comprehend the information being communicated.,
QC17,Structure of the sustainability statement,Understandability,For sustainability disclosures to be concise they need to (a) avoid generic “boilerplate” information which is not specific to the undertaking; (b) avoid unnecessary duplication of information including information also provided in financial statements; and (c) use clear language and well-structured sentences and paragraphs. Concise disclosures shall only include material information. Complementary information presented pursuant to paragraph 113 shall be provided in a way that avoids obscuring material information.,
QC18,Structure of the sustainability statement,Understandability,Clarity might be enhanced by distinguishing information about developments in the reporting period from “standing” information that remains relatively unchanged from one period to the next. This can be done for example by separately describing features of the undertaking's sustainability-related governance and risk management processes that have changed since the previous reporting period compared to those that remain unchanged.,
QC19,Structure of the sustainability statement,Understandability,"The completeness clarity and comparability of sustainability disclosures all rely on information being presented as a coherent whole. For sustainability disclosures to be coherent they shall be presented in a way that explains the context and the connections between the related information. Coherence also requires the undertaking to provide information in a way that allows users to relate information about its sustainability-related impacts, risks and opportunities to information in the undertaking's financial statements.",
QC20,Structure of the sustainability statement,Understandability,If sustainability-related risks and opportunities discussed in the financial statements have implications for sustainability reporting the undertaking shall include in the sustainability statement the information necessary for users to assess those implications and present appropriate links to the financial statements (see chapter 9 of this Standard). The level of information granularity and technicality shall be aligned with the needs and expectations of users. Abbreviations shall be avoided and the units of measure shall be defined and disclosed.,
118,Linkages with other parts of corporate reporting and connected information,9. Linkages with other parts of corporate reporting and connected information,The undertaking shall provide information that enables users of its sustainability statement to understand the connections between different pieces of information in the statement and the connections between the information in the sustainability statement and other information that the undertaking discloses in other parts of its corporate reporting.,
119,Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,Provided that the conditions in paragraph 120 are met information prescribed by a Disclosure Requirement of an ESRS including a specific datapoint prescribed by a Disclosure Requirement may be incorporated in the sustainability statement by reference to:\n (a) another section of the management report;\n (b) the financial statements;\n (c) the corporate governance statement (if not part of the management report);\n (d) the remuneration report required by Directive 2007/36/EC of the European Parliament and of the Council9 ;\n (e) the universal registration document as referred to in Article 9 of Regulation (EU) 2017/112910; and\n (f) public disclosures under Regulation (EU) No 575/2013 of the European Parliament and of the Council (Pillar 3 disclosures)11. If the undertaking incorporates by reference information from Pillar 3 disclosures it shall ensure that the information matches the scope of consolidation used for the sustainability statement by complementing the incorporated information with additional elements as necessary.,
120,Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,The undertaking may incorporate information by reference to the documents or part of the documents listed in paragraph 119 provided that the disclosures incorporated by reference:\n (a) constitute a separate element of information and are clearly identified in the document concerned as addressing the relevant Disclosure Requirement or the relevant specific datapoint prescribed by a Disclosure Requirement;\n (b) are published before or at the same time as the management report;\n (c) are in the same language as the sustainability statement;\n (d) are subject to at least the same level of assurance as the sustainability statement; and (e) meet the same technical digitalisation requirements as the sustainability statement.,
121,Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,Provided that the conditions established in paragraph 120 are met information prescribed by a Disclosure Requirement of an ESRS including a specific datapoint prescribed by a Disclosure Requirement may be incorporated in the sustainability statement by reference to the undertaking's report prepared according to EU Eco-Management and Audit Scheme (EMAS) Regulation (EU) No 1221/200912. In this case the undertaking shall ensure that the information incorporated by reference is produced using the same basis for preparation of ESRS information including scope of consolidation and treatment of value chain information.,
122,Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,In the preparation of its sustainability statement using incorporation by reference the undertaking shall consider the overall cohesiveness of the reported information and ensure that the incorporation by reference does not impair the readability of the sustainability statement. Appendix G Example of incorporation by reference of this Standard is an illustrative example of incorporation by reference (See ESRS 2 BP-2).,
123,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,"The undertaking shall describe the relationships between different pieces of information. Doing so could require connecting narrative information on governance strategy and risk management to related metrics and targets. For example in providing connected information the undertaking may need to explain the effect or likely effect of its strategy on its financial statements or financial plans or explain how its strategy relates to metrics and targets used to measure progress against performance. Furthermore the undertaking may need to explain how its use of natural resources and changes within its supply chain could amplify change or reduce its material impacts, risks and opportunities. It may need to link this information to information about current or anticipated financial effects on its production costs to its strategic response to mitigate such impacts or risks and to its related investment in new assets. The undertaking may also need to link narrative information to the related metrics and targets and to information in the financial statements. Information that describes connections shall be clear and concise.",
124,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,When the sustainability statement includes monetary amounts or other quantitative data points that exceed a threshold of materiality and that are presented in the financial statements (direct connectivity between information disclosed in sustainability statement and information disclosed in financial statements) the undertaking shall include a reference to the relevant paragraph of its financial statements where the corresponding information can be found.,
125,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,The sustainability statement may include monetary amounts or other quantitative datapoints that exceed a threshold of materiality and that are either an aggregation of or a part of monetary amounts or quantitative data presented in the undertaking's financial statements (indirect connectivity between information disclosed in sustainability statement and information disclosed in financial statements). If this is the case the undertaking shall explain how these amounts or datapoints in the sustainability statement relate to the most relevant amounts presented in the financial statements. This disclosure shall include a reference to the line item and/or to the relevant paragraphs of its financial statements where the corresponding information can be found. Where appropriate a reconciliation may be provided and it may be presented in a tabular form.,
126,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,In the case of information not covered by paragraphs 124 and 125 the undertaking shall explain based on a threshold of materiality the consistency of significant data assumptions and qualitative information included in its sustainability statement with the corresponding data assumptions and qualitative information included in the financial statements. This may occur when the sustainability statement includes:\n (a) monetary amounts or other quantitative data linked to monetary amounts or other quantitative data presented in the financial statements; or\n (b) qualitative information linked to qualitative information presented in the financial statements.,
127,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,Consistency as required by paragraph 126 shall be at the level of a single datapoint and shall include a reference to the relevant line item or paragraph of notes to the financial statements. When significant data assumptions and qualitative information are not consistent the undertaking shall state that fact and explain the reason.,
128,Linkages with other parts of corporate reporting and connected information,9.2 Connected information and connectivity with financial statements,Examples of items for which the explanation in paragraph 126 is required are:\n (a) when the same metric is presented as of the reporting date in financial statements and as a forecast for future periods in the sustainability statement; and\n (b) when macroeconomic or business projections are used to develop metrics in the sustainability statement and they are also relevant in estimating the recoverable amount of assets the amount of liabilities or provisions in financial statements.,
