index,paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
56,AR14,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","In preparing disclosures relating to its business model and value chain, the undertaking shall consider:\n (a) its key activities, resources, distribution channels and customer segments;\n (b) its key business relationships and their key characteristics, including relationships with customers and suppliers;\n (c) the cost structure and revenue of its business segments, in line with IoRS 8 disclosure requirements in the financial statement, where applicable;\n (c) the potential impacts, risks and opportunities in its significant sector(s) and their possible relationship to its own business model or value chain.","The undertaking should consider its key activities, business relationships, cost structure, revenue, and potential risks in its sector when preparing disclosures about its business model and value chain.",
57,AR15,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","Contextual information may be particularly relevant for users of the undertaking's sustainability statement, to understand to what extent the disclosures include upstream and/or downstream value chain information. The description of the main features of the upstream and/or downstream value chain and where applicable the identification of key value chains should support an understanding of how the undertaking applies the requirements of ESRS 1 chapter 5 and the materiality assessment performed by the undertaking in line with ESRS 1 chapter 3. The description may provide a high-level overview of the key features of upstream and/or downstream value chain entities indicating their relative contribution to the undertaking's performance and position and explaining how they contribute to the value creation of the undertaking.","The text discusses the importance of providing contextual information about an undertaking's sustainability statement, specifically about its upstream and downstream value chain, to help users understand how it meets ESRS requirements and contributes to the undertaking's performance and value creation.",
58,43,Strategy,Disclosure Requirement SBM-2 - Interests and views of stakeholders,The undertaking shall disclose how the interests and views of its stakeholders are taken into account by the undertaking's strategy and business model.,The company will reveal how it considers stakeholders' interests and views in its strategy and business model.,
59,44,Strategy,Disclosure Requirement SBM-2 - Interests and views of stakeholders,The objective of this Disclosure Requirement is to provide an understanding of how stakeholders' interests and views inform the undertaking's strategy and business model.,This Disclosure Requirement aims to explain how stakeholders' perspectives influence the company's strategy and business model.,
60,45,Strategy,Disclosure Requirement SBM-2 - Interests and views of stakeholders,"The undertaking shall disclose a summarised description of:\n (a) its stakeholder engagement, including:\n (ai) the undertaking's key stakeholders;\n (aii) whether engagement with them occurs and for which categories of stakeholders;\n (aiii) how it is organised;\n (aiv) its purpose; and\n (av) how its outcome is taken into account by the undertaking;\n (b) the undertaking's understanding of the interests and views of its key stakeholders as they relate to the undertaking's strategy and business model, to the extent that these were analysed during the undertaking's due diligence process and/or materiality assessment process (see Disclosure Requirement IRO-1 of this Standard);\n (c) where applicable, amendments to its strategy and/or business model, including:\n (ci) how the undertaking has amended or expects to amend its strategy and/or business model to address the interests and views of its stakeholders;\n (cii) any further steps that are being planned and in what timeline; and\n (ciii) whether these steps are likely to modify the relationship with and views of stakeholders; and\n (d) whether and how the administrative, management and supervisory bodies are informed about the views and interests of affected stakeholders with regard to the undertaking's sustainabilityrelated impacts.","The text outlines the company's stakeholder engagement process, understanding of stakeholders' interests, potential strategy changes based on stakeholders' views, and how these views are communicated to the company's management.",narrative
61,AR16,Strategy,Disclosure Requirement SBM-2 - Interests and views of stakeholders,"The views and interests of stakeholders that are expressed as part of the undertaking's engagement with stakeholders through its due diligence process may be relevant to one or more aspects of its strategy or business model. As such, they may affect the undertaking's decisions regarding the future direction of the strategy or business model.","Stakeholders' views and interests, expressed during due diligence, can influence the company's strategic and business model decisions.",
62,46,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","The undertaking shall disclose its material impacts, risks and opportunities and how they interact with its strategy and business model.","The business will reveal its significant effects, risks, and opportunities and their relation to its strategy and business model.",
63,47,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","The objective of this Disclosure Requirement is to provide an understanding of the material impacts, risks and opportunities as they result from the undertaking's materiality assessment and how they originate from and trigger adaptation of the undertaking's strategy and business model including its resources allocation. The information to be disclosed about the management of the undertaking's material impacts, risks and opportunities is prescribed in topical ESRS and in sector-specific standards, which shall be applied in conjunction with the Minimum Disclosure Requirements on policies, actions and targets established in this Standard.","This Disclosure Requirement aims to explain the significant effects, risks, and opportunities from the company's materiality assessment and how they influence its strategy, business model, and resource allocation, with specific disclosure information guided by topical ESRS and sector-specific standards.",
64,48,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","The undertaking shall disclose:\n (a) a brief description of its material impacts, risks and opportunities resulting from its materiality assessment (see Disclosure Requirement IRO-1 of this standard), including a description of where in its business model, its own operations and its upstream and downstream value chain these material impacts, risks and opportunities are concentrated;\n (b) the current and anticipated effects of its material impacts, risks and opportunities on its business model, value chain, strategy and decision-making, and how it has responded or plans to respond to these effects, including any changes it has made or plans to make to its strategy or business model as part of its actions to address particular material impacts or risks, or to pursue particular material opportunities;\n (c) with reference to the undertaking's material impacts:\n (ci) how the undertaking's material negative and positive impacts affect (or, in the case of potential impacts, are likely to affect) people or the environment;\n (cii) whether and how the impacts originate from or are connected to the undertaking's strategy and business model;\n (ciii) the reasonably expected time horizons of the impacts; and\n (civ) whether the undertaking is involved with the material impacts through its activities or because of its business relationships, describing the nature of the activities or business relationships concerned;\n (e) the current financial effects of the undertaking's material risks and opportunities on its financial position, financial performance and cash flows and the material risks and opportunities for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;\n (f) the anticipated financial effects of the undertaking's material risks and opportunities on its financial position, financial performance and cash flows over the short-, medium- and long-term, including the reasonably expected time horizons for those effects. This shall include how the undertaking expects its financial position, financial performance and cash flows to change over the short, medium- and long-term, given its strategy to manage risks and opportunities, taking into consideration:\n (fi) its investment and disposal plans (for example, capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas and asset retirements), including plans the undertaking is not contractually committed to; and\n (fii) its planned sources of funding to implement its strategy.\n (g) information about the resilience of the undertaking's strategy and business model regarding its capacity to address its material impacts and risks and to take advantage of its material opportunities. The undertaking shall disclose a qualitative and, when applicable, a quantitative analysis of the resilience, including how the analysis was conducted and the time horizons that were applied as 12 defined in ESRS 1 (see ESRS 1 chapter 6 Time horizons). When providing quantitative information, the undertaking may disclose single amounts or ranges;\n (h) changes to the material impacts, risks and opportunities compared to the previous reporting period; and\n (i) a specification of those impacts, risks and opportunities that are covered by ESRS Disclosure Requirements as opposed to those covered by the undertaking using additional entity-specific disclosures.","The undertaking will disclose its material impacts, risks, and opportunities, their effects on its business model and strategy, how they originate, their expected time horizons, their financial effects, and the resilience of the undertaking's strategy to manage these factors. It will also disclose any changes compared to the previous reporting period and specify which are covered by ESRS Disclosure Requirements.",narrative
65,49,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","The undertaking may disclose the descriptive information required in paragraph 46 alongside the disclosures provided under the corresponding topical ESRS, in which case it shall still present a statement of its material impacts, risks and opportunities alongside its disclosures prepared under this chapter of ESRS 2.","The task may reveal necessary details with its ESRS disclosures and must also present a statement of its significant impacts, risks, and opportunities.",
66,AR17,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","When describing where in its upstream and/or downstream value chain material impacts, risks and opportunities are concentrated, the undertaking shall consider: geographical areas, facilities or types of assets, inputs, outputs and distribution channels","The undertaking should evaluate where significant impacts, risks, and opportunities lie in its value chain, considering factors like geographical areas, facilities, assets, inputs, outputs, and distribution channels.",
67,AR18,Strategy,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model","This disclosure may be expressed in terms of a single impact, risk or opportunity or by aggregating groups of material impacts, risks and opportunities, when this provides more relevant information and does not obscure material information.","This statement can be conveyed as a single impact, risk, or opportunity, or as a combination of these, provided it offers relevant information without hiding important details.",
68,50,"Impact, risk and opportunity management",4.1 Disclosures on the materiality assessment process,"This chapter sets disclosure requirements that enable an understanding of:\n (a) the process to identify material impacts, risks and opportunities; and\n (b) the information that, as a result of its materiality assessment, the undertaking has included in its sustainability statement.","This chapter outlines the disclosure requirements for identifying significant impacts, risks, opportunities, and the information included in a sustainability statement.",
69,51,"Impact, risk and opportunity management","Disclosure Requirement IRO-1 - Description of the process to identify and assess material impacts, risks and opportunities","The undertaking shall disclose its process to identify its impacts, risks and opportunities and to assess which ones are material","The company will reveal its method for identifying and assessing its impacts, risks, and opportunities.",
70,52,"Impact, risk and opportunity management","Disclosure Requirement IRO-1 - Description of the process to identify and assess material impacts, risks and opportunities","The objective of this Disclosure Requirement is to provide an understanding of the process through which the undertaking identifies impacts, risks and opportunities and assesses their materiality, as the basis for determining the disclosures in its sustainability statement (see ESRS 1 chapter 3 and its related Application Requirements, which set out requirements and principles regarding the process to identify and assess material impacts, risks and opportunities based on the principle of double materiality).","This Disclosure Requirement aims to explain how a company identifies and assesses its sustainability impacts, risks, and opportunities for its disclosure statement.",
71,53,"Impact, risk and opportunity management","Disclosure Requirement IRO-1 - Description of the process to identify and assess material impacts, risks and opportunities","The undertaking shall disclose the following information:\n (a) a description of the methodologies and assumptions applied in the described process;\n (b) an overview of the process to identify, assess, prioritise and monitor the undertaking's potential and actual impacts on people and the environment, informed by the undertaking's due diligence process, including an explanation of whether and how the process:\n (bi) focusses on specific activities, business relationships, geographies or other factors that give rise to heightened risk of adverse impacts;\n (bii) considers the impacts with which the undertaking is involved through its own operations or as a result of its business relationships;\n (biii) includes consultation with affected stakeholders to understand how they may be impacted and with external experts;\n (biv) prioritises negative impacts based on their relative severity and likelihood, (see ESRS 1 section 3.4 Impact materiality) and, if applicable, positive impacts on their relative scale, scope and likelihood, and determines which sustainability matters are material for reporting purposes, including the qualitative or quantitative thresholds and other criteria used as prescribed by ESRS 1 section 3.4 Impact materiality;\n (c) an overview of the process used to identify, assess, prioritise and monitor risks and opportunities that have or may have financial effects. The disclosure shall include:\n (ci) how the undertaking has considered the connections of its impacts and dependencies with the risks and opportunities that may arise from those impacts and dependencies;\n (cii) how the undertaking assesses the likelihood, magnitude, and nature of effects of the identified risk and opportunities (such as the qualitative or quantitative thresholds and other criteria used as prescribed by ESRS 1 section 3.3 Financial materiality);\n (ciii) how the undertaking prioritises sustainability-related risks relative to other types of risks, including its use of risk-assessment tools;\n (d) a description of the decision-making process and the related internal control procedures;\n (e) the extent to which and how the process to identify, assess and manage impacts and risks is integrated into the undertaking's overall risk management process and used to evaluate the undertaking's overall risk profile and risk management processes;\n (f) the extent to which and how the process to identify, assess and manage opportunities is integrated into the undertaking's overall management process where applicable;\n (g) the input parameters it uses (for example, data sources, the scope of operations covered and the detail used in assumptions); and\n (h) whether and how the process has changed compared to the prior reporting period, when the process was modified for the last time and future revision dates of the materiality assessment.","The undertaking will disclose information about its methodologies, processes for identifying and managing impacts on people and the environment, risk assessment, decision-making, internal control procedures, integration of these processes into overall risk management, input parameters used, and any changes to the process.",narrative
72,54,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,The undertaking shall report on the Disclosure Requirements complied with in its sustainability statements.,The company will report on the sustainability statements' compliance with Disclosure Requirements.,
73,55,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"The objective of this Disclosure Requirement is to provide an understanding of the Disclosure Requirements included in the undertaking's sustainability statement and of the topics that have been omitted as not material, as a result of the materiality assessment.",This Disclosure Requirement aims to clarify the sustainability statement's disclosure requirements and the topics excluded due to their lack of significance.,
74,56,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"The undertaking shall include a list of the Disclosure Requirements complied with in preparing the sustainability statement, following the outcome of the materiality assessment (see ESRS 1 chapter 3), including the page numbers and/or paragraphs where the related disclosures are located in the sustainability statement. This may be presented as a content index. The undertaking shall also include a table of all the datapoints that derive from other EU legislation as listed in Appendix B of this standard, indicating where they can be found in the sustainability statement and including those that the undertaking has assessed as not material, in which case the undertaking shall indicate “Not material” in the table in accordance with ESRS 1 paragraph 35.","The task involves preparing a sustainability statement that complies with Disclosure Requirements, including a content index and a table of datapoints from EU legislation, even those deemed not material.",narrative
75,57,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"If the undertaking concludes that climate change is not material and therefore omits all disclosure requirements in ESRS E1 Climate change, it shall disclose a detailed explanation of the conclusions of its materiality assessment with regard to climate change (see ESRS 2 IRO2 Disclosure Requirements in ESRS covered by the undertaking's sustainability statement), including a forward-looking analysis of the conditions that could lead the undertaking to conclude that climate change is material in the future.","If a company determines that climate change is not significant, it must provide a detailed explanation of its assessment and a future analysis of conditions that could make climate change significant.",narrative
76,58,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"If the undertaking concludes that a topic other than climate change is not material and therefore omits all the Disclosure Requirements in the corresponding topical ESRS, it may provide a brief explanation of the conclusions of its materiality assessment for that topic.","If a topic isn't relevant to climate change, the project can skip related disclosure requirements and briefly explain why it's not important.",narrative
77,59,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"The undertaking shall provide an explanation of how it has determined the material information to be disclosed in relation to the impacts, risks and opportunities that it has assessed to be material, including the use of thresholds and/or how it has implemented the criteria in ESRS 1 section 3.2 Material matters and materiality of information.","The company will explain how it decided what important information to disclose about assessed impacts, risks, and opportunities, including the use of thresholds and the application of ESRS 1 section 3.2 criteria.",narrative
78,AR19,"Impact, risk and opportunity management",Disclosure Requirement IRO-2 - Disclosure Requirements in ESRS covered by the undertaking's sustainability statement,"Notwithstanding the basis for the presentation of the information about sustainability matters included in ESRS 1 chapter 8 Structure of sustainability statement, the undertaking may disclose the list of the Disclosure Requirements complied with in preparing the sustainability statement (see paragraph 54) in the general information part or in other parts of the sustainability statement as it deems appropriate. The undertaking may use a content index, i.e., a tabular list of the Disclosure Requirements included in the sustainability statement, with the indication of where they are located (page/paragraphs).",The company can disclose its compliance with Disclosure Requirements in any part of the sustainability statement and may use a content index to indicate their location.,
79,60,"Impact, risk and opportunity management",4.2 Minimum disclosure requirements on policies and actions,"This section sets out minimum disclosure requirements to be included when the undertaking discloses information on its policies and actions to prevent, mitigate and remediate actual and potential material impacts, to address material risks and/or to pursue material opportunities (collectively, to “manage material sustainability matters”). They shall be applied together with the Disclosure Requirements, including Application Requirements, provided in the relevant topical and sector-specific ESRS. They shall also be applied when the undertaking prepares entity-specific disclosures.","This section outlines the necessary disclosure requirements for a company's strategies and actions to manage significant sustainability issues, in accordance with relevant ESRS and entity-specific disclosures.",
80,61,"Impact, risk and opportunity management",4.2 Minimum disclosure requirements on policies and actions,"The corresponding disclosures shall be located alongside disclosures prescribed by the relevant ESRS. When a single policy or same actions address several interconnected sustainability matters, the undertaking may disclose the required information in its reporting under one topical ESRS and cross reference to it in its reporting under other topical ESRS.",The company can report interconnected sustainability matters under one ESRS and cross-reference it in other ESRS reports.,
81,62,"Impact, risk and opportunity management",4.2 Minimum disclosure requirements on policies and actions,"If the undertaking cannot disclose the information on policies and actions required under relevant ESRS, because it has not adopted policies and/or actions with reference to the specific sustainability matter concerned, it shall disclose this to be the case, and provide reasons for not having adopted policies and/or actions. The undertaking may disclose a timeframe in which it aims to adopt them.","If a company hasn't adopted certain sustainability policies, it must disclose this and explain why, possibly including a timeline for future adoption.",
82,63,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Policies MDR-P - Policies adopted to manage material sustainability matters,The undertaking shall apply the minimum disclosure requirements defined in this provision when it discloses the policies it has in place with regard to each sustainability matter identified as material.,The company must disclose its policies on identified sustainability issues according to the minimum disclosure requirements in this provision.,
83,64,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Policies MDR-P - Policies adopted to manage material sustainability matters,"The objective of this Minimum Disclosure Requirement is to provide an understanding of the policies that the undertaking has in place to prevent, mitigate and remediate actual and potential impacts, to address risks and to pursue opportunities.","This Minimum Disclosure Requirement aims to explain the undertaking's policies for managing risks, impacts, and opportunities.",
84,65,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Policies MDR-P - Policies adopted to manage material sustainability matters,"The undertaking shall disclose information about policies adopted to manage material sustainability matters. The disclosure shall include the following information:\n (a) a description of the key contents of the policy, including its general objectives and which material impacts, risks or opportunities the policy relates to and the process for monitoring;\n (b) a description of the scope of the policy, or of its exclusions, in terms of activities, upstream and/or downstream value chain, geographies and if relevant, affected stakeholder groups;\n (c) the most senior level in the undertaking's organisation that is accountable for the implementation of the policy;\n (d) a reference, if relevant, to the third-party standards or initiatives the undertaking commits to respect through the implementation of the policy;\n (e) if relevant, a description of the consideration given to the interests of key stakeholders in setting the policy; and\n (f) if relevant, whether and how the undertaking makes the policy available to potentially affected stakeholders, and stakeholders who need to help implement it.","The undertaking must disclose its sustainability policies, including their content, scope, accountability, any third-party standards, stakeholder considerations, and how the policy is shared with stakeholders.",narrative
85,AR20,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Policies MDR-P - Policies adopted to manage material sustainability matters,"Due to the interdependency between impacts on people and the environment, risks and opportunities, a single policy may apply to several material sustainability matters, including matters addressed by more than one topical ESRS. oor example, if a single policy covers both an environmental matter and a social matter, the undertaking may report on the policy in the environmental section of its sustainability statement. In this case, it should include in the social section a cross-reference to the environmental section where the policy is reported. Equally a policy may be reported in the social section with a cross-reference to it in the environmental section.","A single policy can address multiple sustainability issues, and can be reported in one section of a sustainability statement with a cross-reference in another section.",
86,AR21,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Policies MDR-P - Policies adopted to manage material sustainability matters,"The description of the scope of the policy may explain which activities and/or segments of the undertaking's own operations or upstream and downstream value chain it concerns. The description may also explain further boundaries relevant to the specific topic or the undertaking's circumstances, which may include geographies, life cycles, etc. In certain cases, such as if the policy does not cover the full value chain, the undertaking may provide clear information regarding the extent of the value chain covered by the policy.","The policy's scope describes which operations it covers, potentially including specific activities, value chain segments, geographies, and life cycles, and may clarify the extent of the value chain coverage if it's not comprehensive.",
87,66,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,The undertaking shall apply the requirements for the content of disclosures in this provision when it describes the actions through which it manages each material sustainability matter including action plans and resources allocated and/or planned.,"The project will follow disclosure requirements when detailing how it manages significant sustainability issues, including action plans and resources.",
88,67,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,"The objective of this Minimum Disclosure Requirement is to provide an understanding of the key actions taken and/or planned to prevent, mitigate and remediate actual and potential impacts, and to address risks and opportunities, and where applicable achieve the objectives and targets of related policies.","This Minimum Disclosure Requirement aims to explain key actions for managing impacts, risks, opportunities, and achieving policy objectives and targets.",
89,68,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,"Where the implementation of a policy requires actions, or a comprehensive action plan, to achieve its objectives, as well as when actions are implemented without a specific policy, the undertaking shall disclose the following information:\n (a) the list of key actions taken in the reporting year and planned for the future, their expected outcomes and, where relevant, how their implementation contributes to the achievement of policy objectives and targets;\n (b) the scope of the key actions (i.e., coverage in terms of activities, upstream and/or downstream value chain, geographies and, where applicable, affected stakeholder groups);\n (c) the time horizons under which the undertaking intends to complete each key action;\n (d) if applicable, key actions taken (along with results) to provide for and cooperate in or support the provision of remedy for those harmed by actual material impacts;\n (e) if applicable, quantitative and qualitative information regarding the progress of actions or action plans disclosed in prior periods.","The policy implementation requires disclosure of key actions taken and planned, their scope, completion timelines, remedial measures for any harm caused, and progress updates from previous periods.",narrative
90,69,"Impact, risk and opportunity management",Minimum Disclosure Requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,"Where the implementation of an action plan requires significant operational expenditures (Opex) and/or capital expenditures (Capex) the undertaking shall:\n (a) describe the type of current and future financial and other resources allocated to the action plan, including if applicable, the relevant terms of sustainable finance instruments, such as green bonds, social bonds and green loans, the environmental or social objectives, and whether the ability to implement the actions or action plan depends on specific preconditions, e.g., granting of financial support or public policy and market developments;\n (b) provide the amount of current financial resources and explain how they relate to the most relevant amounts presented in the financial statements; and (c) provide the amount of future financial resources.","The undertaking must detail the financial resources allocated to the action plan, explain their relation to financial statements, and provide the amount of future resources, especially when significant operational and capital expenditures are involved.",narrative
91,AR22,"Impact, risk and opportunity management",Minimum disclosure requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,"Key actions in the context of this Minimum Disclosure Requirement are those actions that materially contribute to achieving the undertaking's objectives in addressing material impacts, risks and opportunities. oor reasons of understandability, key actions may be aggregated where appropriate","Key actions are significant steps that help in achieving a company's goals by addressing major impacts, risks, and opportunities, and can be grouped for easier understanding.",
92,AR23,"Impact, risk and opportunity management",Minimum disclosure requirement - Actions MDR-A - Actions and resources in relation to material sustainability matters,"Information on resource allocation may be presented in the form of a table and broken down between capital expenditure and operating expenditure, and across the relevant time horizons, and between resources applied in the current reporting year and the planned allocation of resources over specific time horizons.","Resource allocation data can be displayed in a table, detailing capital and operating expenses, current and future allocations, across different time periods.",
93,70,Metrics and targets,5. Metrics and targets,"This chapter sets out Minimum Disclosure Requirements that shall be included when the undertaking discloses information on its metrics and targets related to each material sustainability matter. They shall be applied together with the Disclosure Requirements, including Application Requirements, provided in the relevant topical ESRS. They shall also be applied when the undertaking prepares entity-specific disclosures",This chapter outlines the necessary disclosure requirements for sharing information on sustainability metrics and targets.,
94,71,Metrics and targets,5. Metrics and targets,The corresponding disclosures shall be located alongside disclosures prescribed by the topical ESRS.,The required disclosures should be placed next to the ones mandated by the topical ESRS.,
95,72,Metrics and targets,5. Metrics and targets,"If the undertaking cannot disclose the information on targets required under the relevant topical ESRS, because it has not set targets with reference to the specific sustainability matter concerned, it shall disclose this to be the case, and provide reasons for not having adopted targets. The undertaking may disclose a timeframe in which it aims to adopt them.","If a company hasn't set sustainability targets, it must disclose this and explain why, possibly including a timeline for setting these targets.",
96,73,Metrics and targets,Minimum disclosure requirement - Metrics MDR-M - Metrics in relation to material sustainability matters,The undertaking shall apply the requirements for the content of disclosures in this provision when it discloses on the metrics it has in place with regard to each material sustainability matter.,The project will follow disclosure requirements for its sustainability metrics on significant matters.,
97,74,Metrics and targets,Minimum disclosure requirement - Metrics MDR-M - Metrics in relation to material sustainability matters,The objective of this Minimum Disclosure Requirement is to provide an understanding of the metrics the undertaking uses to track the effectiveness of its actions to manage material sustainability matters,This requirement aims to explain how a company measures its success in managing important sustainability issues.,
98,75,Metrics and targets,Minimum disclosure requirement - Metrics MDR-M - Metrics in relation to material sustainability matters,"The undertaking shall disclose any metrics that it uses to evaluate performance and effectiveness, in relation to a material impact, risk or opportunity","The project will reveal any measures used to assess performance and effectiveness concerning significant impacts, risks, or opportunities.",narrative
99,76,Metrics and targets,Minimum disclosure requirement - Metrics MDR-M - Metrics in relation to material sustainability matters,"Metrics shall include those defined in ESRS, as well as metrics identified on an entity-specific basis, whether taken from other sources or developed by the undertaking itself.","The metrics will consist of those outlined in ESRS and additional ones identified by the entity, either from other sources or self-developed.",
100,77,Metrics and targets,Minimum disclosure requirement - Metrics MDR-M - Metrics in relation to material sustainability matters,"oor each metric, the undertaking shall:\n (a) disclose the methodologies and significant assumptions behind the metric, including the limitations of the methodologies used;\n (b) disclose whether the measurement of the metric is validated by an external body other than the assurance provider and, if so, which body;\n (c) label and define the metric using meaningful, clear and precise names and descriptions;\n (d) when currency is specified as the unit of measure, use the presentation currency of its financial statements.","The undertaking must disclose methodologies, assumptions, validations, clear definitions, and use the financial statement's currency for each metric.",narrative
101,78,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,The undertaking shall apply the requirements for the content of disclosures in this provision when it discloses information about the targets it has set with regard to each material sustainability matter.,The project will follow disclosure requirements when sharing information about its sustainability goals.,
102,79,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,"The objective of this Minimum Disclosure Requirement is to provide for each material sustainability matter an understanding of:\n (a) whether and how the undertaking tracks the effectiveness of its actions to address material impacts, risks and opportunities, including the metrics it uses to do so;\n (b) measurable time-bound outcome-oriented targets set by the undertaking to meet the policy's objectives, defined in terms of expected results for people, the environment or the undertaking regarding material impacts, risks and opportunities;\n (c) the overall progress towards the adopted targets over time;\n (d) in the case that the undertaking has not set measurable time-bound outcome-oriented targets, whether and how it nevertheless tracks the effectiveness of its actions to address material impacts, risks and opportunities and measures the progress in achieving its policy objectives; and\n (e) whether and how stakeholders have been involved in target setting for each material sustainability matter.","The Minimum Disclosure Requirement aims to clarify how a company monitors its sustainability efforts, sets measurable targets, tracks progress, and involves stakeholders in these processes.",
103,80,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,"The undertaking shall disclose the measurable, outcome-oriented and time-bound targets on material sustainability matters it has set to assess progress. oor each target, the disclosure shall include the following information:\n (a) a description of the relationship of the target to the policy objectives;\n (b) the defined target level to be achieved, including, where applicable, whether the target is absolute or relative and in which unit it is measured;\n (c) the scope of the target, including the undertaking's activities and/or its upstream and/or downstream value chain where applicable and geographical boundaries;\n (d) the baseline value and base year from which progress is measured;\n (e) the period to which the target applies and if applicable, any milestones or interim targets;\n (f) the methodologies and significant assumptions used to define targets, including where applicable, the selected scenario, data sources, alignment with national, EU or international policy goals and how the targets consider the wider context of sustainable development and/or local situation in which impacts take place;\n (g) whether the undertaking's targets related to environmental matters are based on conclusive scientific evidence;\n (h) whether and how stakeholders have been involved in target setting for each material sustainability matter;\n (i) any changes in targets and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and processes to collect data adopted within the defined 17 time horizon. This includes an explanation of the rationale for those changes and their effect on comparability (see Disclosure Requirement BP-2 Disclosures in relation to specific circumstances of this Standard); and\n (j) the performance against its disclosed targets, including information on how the target is monitored and reviewed and the metrics used, whether the progress is in line with what had been initially planned, and an analysis of trends or significant changes in the performance of the undertaking towards achieving the target.","The company must disclose its sustainability targets, including their relationship to policy objectives, target levels, scope, baseline values, timeframes, methodologies, scientific basis, stakeholder involvement, changes in targets, and performance against these targets.",Decimal
104,81,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,"If the undertaking has not set any measurable outcome-oriented targets:\n (a) it may disclose whether such targets will be set and the timeframe for setting them, or the reasons why the undertaking does not plan to set such targets;\n (b) it shall disclose whether it nevertheless tracks the effectiveness of its policies and actions in relation to the material sustainability-related impact, risk and opportunity, and if so:\n (bi) any processes through which it does so;\n (bii) the defined level of ambition to be achieved and any qualitative or quantitative indicators it uses to evaluate progress, including the base period from which progress is measured.","The undertaking should disclose if it plans to set measurable targets, how it tracks policy effectiveness, and the methods and indicators used to evaluate progress.",narrative
105,AR24,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,"When disclosing targets related to the prevention or mitigation of environmental impacts, the undertaking shall prioritise targets related to the reduction of the impacts in absolute terms rather than in relative terms. When targets address the prevention or mitigation of social impacts, they may be specified in terms of the effects on human rights, welfare or positive outcomes for affected stakeholders.","The undertaking should focus on reducing environmental impacts in absolute terms and address social impacts in terms of human rights, welfare, or positive outcomes for stakeholders.",
106,AR25,Metrics and targets,Minimum Disclosure Requirement - Targets MDR-T - Tracking effectiveness of policies and actions through targets,"The information on progress made towards achieving the targets may be presented in a comprehensive table, including information on the baseline and target value, milestones, and achieved performance over the prior periods.","The progress towards goals can be shown in a detailed table with baseline, target values, milestones, and past performance.",
